source,step,camera,metric,value
eval_obs_20260828_224504,168,0,luma_mean_matched_reference,0.0
eval_obs_20260828_224504,192,0,luma_mean_observed,0.050252411514520645
eval_obs_20260828_224504,192,0,luma_mean_matched_reference,0.0
eval_obs_20260828_224504,216,0,luma_mean_observed,0.05016929656267166
eval_obs_20260828_224504,216,0,luma_mean_matched_reference,0.0
eval_obs_20260828_224504,240,0,luma_mean_observed,0.050052352249622345
eval_obs_20260828_224504,240,0,luma_mean_matched_reference,0.0
eval_obs_20260828_224504,264,0,luma_mean_observed,0.04995046928524971
eval_obs_20260828_224504,264,0,luma_mean_matched_reference,0.0
eval_obs_20260828_224504,288,0,luma_mean_observed,0.04990974813699722
eval_obs_20260828_224504,288,0,luma_mean_matched_reference,0.0
eval_obs_20260828_224504,312,0,luma_mean_observed,0.04993018880486488
eval_obs_20260828_224504,312,0,luma_mean_matched_reference,0.0
eval_obs_20260828_224504,336,0,luma_mean_observed,0.049887288361787796
eval_obs_20260828_224504,336,0,luma_mean_matched_reference,0.0
eval_obs_20260828_224504,360,0,luma_mean_observed,0.04969467967748642
eval_obs_20260828_224504,360,0,luma_mean_matched_reference,0.0
eval_obs_20260828_224504,384,0,luma_mean_observed,0.050120193511247635
eval_obs_20260828_224504,384,0,luma_mean_matched_reference,0.0
eval_obs_20260828_224504,408,0,luma_mean_observed,0.050116874277591705
eval_obs_20260828_224504,408,0,luma_mean_matched_reference,0.0
eval_obs_20260828_224504,432,0,luma_mean_observed,0.050038207322359085
eval_obs_20260828_224504,432,0,luma_mean_matched_reference,0.0
eval_obs_20260828_224504,456,0,luma_mean_observed,0.04999386519193649
eval_obs_20260828_224504,456,0,luma_mean_matched_reference,0.0
eval_obs_20260828_224504,480,0,luma_mean_observed,0.04982401430606842
eval_obs_20260828_224504,480,0,luma_mean_matched_reference,0.0
eval_obs_20260828_224504,504,0,luma_mean_observed,0.049852341413497925
eval_obs_20260828_224504,504,0,luma_mean_matched_reference,0.0
eval_obs_20260828_224504,0,0,luma_std_observed,0.07942907512187958
eval_obs_20260828_224504,0,0,luma_std_matched_reference,0.0
eval_obs_20260828_224504,24,0,luma_std_observed,0.07957637310028076
eval_obs_20260828_224504,24,0,luma_std_matched_reference,0.0
eval_obs_20260828_224504,48,0,luma_std_observed,0.0795619860291481
eval_obs_20260828_224504,48,0,luma_std_matched_reference,0.0
eval_obs_20260828_224504,72,0,luma_std_observed,0.0796281024813652
eval_obs_20260828_224504,72,0,luma_std_matched_reference,0.0
eval_obs_20260828_224504,96,0,luma_std_observed,0.07924117147922516
eval_obs_20260828_224504,96,0,luma_std_matched_reference,0.0
eval_obs_20260828_224504,120,0,luma_std_observed,0.07865244895219803
eval_obs_20260828_224504,120,0,luma_std_matched_reference,0.0
eval_obs_20260828_224504,144,0,luma_std_observed,0.07842317223548889
eval_obs_20260828_224504,144,0,luma_std_matched_reference,0.0
eval_obs_20260828_224504,168,0,luma_std_observed,0.07847339659929276
eval_obs_20260828_224504,168,0,luma_std_matched_reference,0.0
eval_obs_20260828_224504,192,0,luma_std_observed,0.07842052727937698
eval_obs_20260828_224504,192,0,luma_std_matched_reference,0.0
eval_obs_20260828_224504,216,0,luma_std_observed,0.07839423418045044
eval_obs_20260828_224504,216,0,luma_std_matched_reference,0.0
eval_obs_20260828_224504,240,0,luma_std_observed,0.07836931943893433
eval_obs_20260828_224504,240,0,luma_std_matched_reference,0.0
eval_obs_20260828_224504,264,0,luma_std_observed,0.07838989794254303
eval_obs_20260828_224504,264,0,luma_std_matched_reference,0.0
eval_obs_20260828_224504,288,0,luma_std_observed,0.07833877950906754
eval_obs_20260828_224504,288,0,luma_std_matched_reference,0.0
eval_obs_20260828_224504,312,0,luma_std_observed,0.07832696288824081
eval_obs_20260828_224504,312,0,luma_std_matched_reference,0.0
eval_obs_20260828_224504,336,0,luma_std_observed,0.07836135476827621
eval_obs_20260828_224504,336,0,luma_std_matched_reference,0.0
eval_obs_20260828_224504,360,0,luma_std_observed,0.07835513353347778
eval_obs_20260828_224504,360,0,luma_std_matched_reference,0.0
eval_obs_20260828_224504,384,0,luma_std_observed,0.07840139418840408
eval_obs_20260828_224504,384,0,luma_std_matched_reference,0.0
eval_obs_20260828_224504,408,0,luma_std_observed,0.0783916637301445
eval_obs_20260828_224504,408,0,luma_std_matched_reference,0.0
eval_obs_20260828_224504,432,0,luma_std_observed,0.07835616171360016
eval_obs_20260828_224504,432,0,luma_std_matched_reference,0.0
eval_obs_20260828_224504,456,0,luma_std_observed,0.07835079729557037
eval_obs_20260828_224504,456,0,luma_std_matched_reference,0.0
eval_obs_20260828_224504,480,0,luma_std_observed,0.078314870595932
eval_obs_20260828_224504,480,0,luma_std_matched_reference,0.0
eval_obs_20260828_224504,504,0,luma_std_observed,0.07830319553613663
eval_obs_20260828_224504,504,0,luma_std_matched_reference,0.0
eval_obs_20260828_224504,0,0,saturation_mean_observed,0.8454144597053528
eval_obs_20260828_224504,0,0,saturation_mean_matched_reference,0.0
eval_obs_20260828_224504,24,0,saturation_mean_observed,0.8459493517875671
eval_obs_20260828_224504,24,0,saturation_mean_matched_reference,0.0
eval_obs_20260828_224504,48,0,saturation_mean_observed,0.8459317088127136
eval_obs_20260828_224504,48,0,saturation_mean_matched_reference,0.0
eval_obs_20260828_224504,72,0,saturation_mean_observed,0.8477529287338257
eval_obs_20260828_224504,72,0,saturation_mean_matched_reference,0.0
eval_obs_20260828_224504,96,0,saturation_mean_observed,0.8486584424972534
eval_obs_20260828_224504,96,0,saturation_mean_matched_reference,0.0
eval_obs_20260828_224504,120,0,saturation_mean_observed,0.8508051633834839
eval_obs_20260828_224504,120,0,saturation_mean_matched_reference,0.0
eval_obs_20260828_224504,144,0,saturation_mean_observed,0.8557873368263245
eval_obs_20260828_224504,144,0,saturation_mean_matched_reference,0.0
eval_obs_20260828_224504,168,0,saturation_mean_observed,0.8572646379470825
eval_obs_20260828_224504,168,0,saturation_mean_matched_reference,0.0
eval_obs_20260828_224504,192,0,saturation_mean_observed,0.8579093813896179
eval_obs_20260828_224504,192,0,saturation_mean_matched_reference,0.0
eval_obs_20260828_224504,216,0,saturation_mean_observed,0.8587813377380371
eval_obs_20260828_224504,216,0,saturation_mean_matched_reference,0.0
eval_obs_20260828_224504,240,0,saturation_mean_observed,0.8558995127677917
eval_obs_20260828_224504,240,0,saturation_mean_matched_reference,0.0
eval_obs_20260828_224504,264,0,saturation_mean_observed,0.8576682806015015
eval_obs_20260828_224504,264,0,saturation_mean_matched_reference,0.0
eval_obs_20260828_224504,288,0,saturation_mean_observed,0.8581113815307617
eval_obs_20260828_224504,288,0,saturation_mean_matched_reference,0.0
eval_obs_20260828_224504,312,0,saturation_mean_observed,0.8604555130004883
eval_obs_20260828_224504,312,0,saturation_mean_matched_reference,0.0
eval_obs_20260828_224504,336,0,saturation_mean_observed,0.8589151501655579
eval_obs_20260828_224504,336,0,saturation_mean_matched_reference,0.0
eval_obs_20260828_224504,360,0,saturation_mean_observed,0.8573216199874878
eval_obs_20260828_224504,360,0,saturation_mean_matched_reference,0.0
eval_obs_20260828_224504,384,0,saturation_mean_observed,0.8561933636665344
eval_obs_20260828_224504,384,0,saturation_mean_matched_reference,0.0
eval_obs_20260828_224504,408,0,saturation_mean_observed,0.8575739860534668
eval_obs_20260828_224504,408,0,saturation_mean_matched_reference,0.0
eval_obs_20260828_224504,432,0,saturation_mean_observed,0.8564429879188538
eval_obs_20260828_224504,432,0,saturation_mean_matched_reference,0.0
eval_obs_20260828_224504,456,0,saturation_mean_observed,0.8564570546150208
eval_obs_20260828_224504,456,0,saturation_mean_matched_reference,0.0
eval_obs_20260828_224504,480,0,saturation_mean_observed,0.8568319082260132
eval_obs_20260828_224504,480,0,saturation_mean_matched_reference,0.0
eval_obs_20260828_224504,504,0,saturation_mean_observed,0.8571545481681824
eval_obs_20260828_224504,504,0,saturation_mean_matched_reference,0.0
eval_obs_20260828_224504,0,0,laplacian_variance_observed,381.1119435952635
eval_obs_20260828_224504,0,0,laplacian_variance_matched_reference,0.0
eval_obs_20260828_224504,24,0,laplacian_variance_observed,373.34000227362964
eval_obs_20260828_224504,24,0,laplacian_variance_matched_reference,0.0
eval_obs_20260828_224504,48,0,laplacian_variance_observed,375.1665131367529
eval_obs_20260828_224504,48,0,laplacian_variance_matched_reference,0.0
eval_obs_20260828_224504,72,0,laplacian_variance_observed,375.36043067774835
eval_obs_20260828_224504,72,0,laplacian_variance_matched_reference,0.0
eval_obs_20260828_224504,96,0,laplacian_variance_observed,369.2375238141335
eval_obs_20260828_224504,96,0,laplacian_variance_matched_reference,0.0
eval_obs_20260828_224504,120,0,laplacian_variance_observed,355.1733282006617
eval_obs_20260828_224504,120,0,laplacian_variance_matched_reference,0.0
eval_obs_20260828_224504,144,0,laplacian_variance_observed,353.33282660723034
eval_obs_20260828_224504,144,0,laplacian_variance_matched_reference,0.0
eval_obs_20260828_224504,168,0,laplacian_variance_observed,353.716875893729
eval_obs_20260828_224504,168,0,laplacian_variance_matched_reference,0.0
eval_obs_20260828_224504,192,0,laplacian_variance_observed,351.8399832394659
eval_obs_20260828_224504,192,0,laplacian_variance_matched_reference,0.0
eval_obs_20260828_224504,216,0,laplacian_variance_observed,353.5336203612868
eval_obs_20260828_224504,216,0,laplacian_variance_matched_reference,0.0
eval_obs_20260828_224504,240,0,laplacian_variance_observed,352.8151496365288
eval_obs_20260828_224504,240,0,laplacian_variance_matched_reference,0.0
eval_obs_20260828_224504,264,0,laplacian_variance_observed,352.94307892722713
eval_obs_20260828_224504,264,0,laplacian_variance_matched_reference,0.0
eval_obs_20260828_224504,288,0,laplacian_variance_observed,352.8930523088702
eval_obs_20260828_224504,288,0,laplacian_variance_matched_reference,0.0
