source,sequence,index,camera,red_mean,green_mean,blue_mean,luma_mean,luma_std,luma_p05,luma_p50,luma_p95,black_clip_fraction,white_clip_fraction,saturation_mean,laplacian_variance,tenengrad_mean,edge_density,fft_high_frequency_ratio,feature_knn_cosine,feature_percentile,state_knn_rms,state_percentile,matched_episode,matched_frame
reference,episode_000034,28,1,0.40188056230545044,0.3519640564918518,0.3116249144077301,0.35966378450393677,0.23755958676338196,0.013720001094043255,0.35789644718170166,0.7025356888771057,0.017299107142857144,0.0,0.3670608699321747,1083.346877202944,13520.086814413266,0.07995854591836735,0.02863379754126072,,,,,,
reference,episode_000034,29,0,0.3848349452018738,0.3374406099319458,0.308685302734375,0.34544044733047485,0.25585728883743286,0.011749019846320152,0.2886439561843872,0.7158353328704834,0.024872448979591837,0.0,0.3551701009273529,971.8066007204227,11321.094626913266,0.06961495535714286,0.0260560791939497,,,,,,
reference,episode_000034,29,1,0.4020445644855499,0.3522230386734009,0.3117387592792511,0.3598921298980713,0.23756280541419983,0.013720001094043255,0.35769766569137573,0.7028863430023193,0.017578125,0.0,0.36653319001197815,1090.8482740716802,13506.13157684949,0.07954001913265306,0.028695907443761826,,,,,,
reference,episode_000034,30,0,0.38471752405166626,0.3372552692890167,0.3085814416408539,0.34527552127838135,0.25585174560546875,0.011785099282860756,0.28782039880752563,0.7155160903930664,0.024792729591836735,0.0,0.3550155758857727,981.2470661303939,11348.531449298469,0.07015306122448979,0.026182185858488083,,,,,,
reference,episode_000034,30,1,0.4025212526321411,0.35239559412002563,0.3118211328983307,0.3601228892803192,0.23764601349830627,0.013735687360167503,0.35758668184280396,0.7037513852119446,0.016900510204081634,0.0,0.36774754524230957,1086.3038561879373,13499.994937818878,0.0791015625,0.028711019083857536,,,,,,
reference,episode_000034,31,0,0.3846229612827301,0.33718353509902954,0.3084046244621277,0.3451913595199585,0.25572848320007324,0.01288627553731203,0.288065105676651,0.7158195972442627,0.023238201530612245,0.0,0.35574886202812195,977.907727743178,11337.162268813776,0.06917649872448979,0.026193728670477867,,,,,,
reference,episode_000034,31,1,0.4029867649078369,0.3528091311454773,0.31230977177619934,0.3605528473854065,0.23766082525253296,0.013720001094043255,0.35824042558670044,0.7034525871276855,0.01707987882653061,0.0,0.3664108216762543,1093.311448776836,13481.746851084185,0.07786591198979592,0.02874954417347908,,,,,,
reference,episode_000034,32,0,0.38457414507865906,0.3369792699813843,0.30828607082366943,0.34502625465393066,0.2556770145893097,0.01288627553731203,0.28806746006011963,0.7158195972442627,0.02369658801020408,0.0,0.3558422029018402,965.110240929924,11326.826171875,0.06905691964285714,0.026207050308585167,,,,,,
reference,episode_000034,32,1,0.40353530645370483,0.3535822927951813,0.3129085302352905,0.3612656891345978,0.23767147958278656,0.013735687360167503,0.3586784303188324,0.7034525871276855,0.01789700255102041,0.0,0.36755266785621643,1072.1369478526785,13465.074298469388,0.07788584183673469,0.028719384223222733,,,,,,
reference,episode_000034,33,0,0.3843899965286255,0.33687031269073486,0.3081090450286865,0.34489643573760986,0.2556532621383667,0.011749019846320152,0.28724709153175354,0.714131772518158,0.026128029336734693,0.0,0.3560566306114197,982.8903313680073,11344.24485809949,0.0703125,0.026332290843129158,,,,,,
reference,episode_000034,33,1,0.4043346047401428,0.35409340262413025,0.31344538927078247,0.36183983087539673,0.23758390545845032,0.013735687360167503,0.35965532064437866,0.7031956911087036,0.017199457908163265,0.0,0.3682478368282318,1066.5276868276824,13427.548549107143,0.07860331632653061,0.028698619455099106,,,,,,
reference,episode_000034,34,0,0.38422173261642456,0.3367347717285156,0.30790263414382935,0.3447487950325012,0.2556299567222595,0.01288627553731203,0.28703296184539795,0.7141521573066711,0.023975605867346938,0.0,0.35780069231987,970.5424188516976,11321.744579081633,0.06939572704081633,0.0263089407235384,,,,,,
reference,episode_000034,34,1,0.40502238273620605,0.35468244552612305,0.313799113035202,0.36243289709091187,0.23756326735019684,0.013735687360167503,0.3600674271583557,0.7034525871276855,0.01624282525510204,0.0,0.36865997314453125,1060.9440809168054,13421.697504783164,0.07852359693877552,0.028734421357512474,,,,,,
reference,episode_000034,35,0,0.3841983377933502,0.3366668224334717,0.3079260587692261,0.34469693899154663,0.25563573837280273,0.0117647061124444,0.28724709153175354,0.7155160903930664,0.02499202806122449,0.0,0.35621556639671326,974.8539725906996,11329.889269770409,0.06929607780612244,0.02635360322892666,,,,,,
reference,episode_000034,35,1,0.40607398748397827,0.3554851710796356,0.314728319644928,0.3632977604866028,0.23769088089466095,0.013735687360167503,0.36063843965530396,0.7034525871276855,0.017617984693877552,0.0,0.36644741892814636,1071.2983301838751,13442.607501594388,0.07876275510204081,0.028705447912216187,,,,,,
reference,episode_000034,36,0,0.3840729594230652,0.336481511592865,0.3077240586280823,0.3445231318473816,0.2556034326553345,0.0117647061124444,0.28668081760406494,0.714131772518158,0.02654655612244898,0.0,0.3569149076938629,976.0568830608477,11341.419921875,0.06825972576530612,0.02639639377593994,,,,,,
reference,episode_000034,36,1,0.4071565270423889,0.356581449508667,0.315816193819046,0.36439040303230286,0.23771946132183075,0.013735687360167503,0.36207452416419983,0.7037513852119446,0.01642219387755102,0.0,0.3651725947856903,1057.7671498604886,13427.677814094388,0.07882254464285714,0.028566481545567513,,,,,,
reference,episode_000034,37,0,0.3840426206588745,0.3364301323890686,0.3076677620410919,0.3444759249687195,0.2556160092353821,0.01288627553731203,0.2861662805080414,0.7155160903930664,0.023417570153061226,0.0,0.35612624883651733,963.3330623383621,11331.652582908164,0.0699936224489796,0.026340190321207047,,,,,,
reference,episode_000034,37,1,0.4082547426223755,0.35758060216903687,0.31692755222320557,0.36541876196861267,0.2378951907157898,0.013735687360167503,0.36312395334243774,0.7043750882148743,0.015744579081632654,0.0,0.3659692406654358,1055.0875530616288,13422.98561065051,0.0784438775510204,0.02839134819805622,,,,,,
reference,episode_000034,38,0,0.38390958309173584,0.336355596780777,0.30766940116882324,0.34439441561698914,0.2556939721107483,0.01288627553731203,0.28668081760406494,0.715091347694397,0.024274553571428572,0.0,0.3568710386753082,972.5053504962117,11296.139588647959,0.06943558673469388,0.026357978582382202,,,,,,
reference,episode_000034,38,1,0.4091029167175293,0.3583584725856781,0.3174707591533661,0.36619457602500916,0.237836092710495,0.014023530296981335,0.3637733459472656,0.7042705416679382,0.015904017857142856,0.0,0.36672842502593994,1054.3098247036346,13402.773517219388,0.07770647321428571,0.028224635869264603,,,,,,
reference,episode_000034,39,0,0.3836812674999237,0.33620479702949524,0.3073105216026306,0.3442121148109436,0.25571656227111816,0.012052549980580807,0.2861098051071167,0.7142645120620728,0.024932238520408163,0.0,0.35790562629699707,973.6900703715364,11294.176538584185,0.06879783163265306,0.026388544589281082,,,,,,
reference,episode_000034,39,1,0.40987685322761536,0.35888224840164185,0.31812313199043274,0.3667808771133423,0.23787376284599304,0.013735687360167503,0.36429256200790405,0.704888641834259,0.01682079081632653,0.0,0.3643656373023987,1076.103023603329,13489.80859375,0.07860331632653061,0.02833457663655281,,,,,,
reference,episode_000034,40,0,0.38355812430381775,0.33604341745376587,0.3071012794971466,0.3440554141998291,0.2556852698326111,0.01288627553731203,0.2855435311794281,0.714698076248169,0.02467315051020408,0.0,0.3568476140499115,960.8175680433794,11286.167610012755,0.06831951530612244,0.026377731934189796,,,,,,
reference,episode_000034,40,1,0.41043320298194885,0.3594159781932831,0.31846654415130615,0.3673056662082672,0.23777222633361816,0.013735687360167503,0.3645505905151367,0.7043633460998535,0.01670121173469388,0.0,0.3648505210876465,1065.848314220535,13510.568160076531,0.07826450892857142,0.028275541961193085,,,,,,
reference,episode_000034,41,0,0.383330374956131,0.33580872416496277,0.3069237768650055,0.3438263237476349,0.2557346522808075,0.0117647061124444,0.2852964699268341,0.7135451436042786,0.02596859056122449,0.0,0.3557446599006653,957.7593245865752,11253.061304209185,0.0696548150510204,0.026331597939133644,,,,,,
reference,episode_000034,41,1,0.41101840138435364,0.35999441146850586,0.31902143359184265,0.3678838312625885,0.2377115786075592,0.013735687360167503,0.3654298186302185,0.7037513852119446,0.015963807397959183,0.0,0.3655872046947479,1071.8037972011352,13541.435586734693,0.07934072066326531,0.02828444540500641,,,,,,
reference,episode_000034,42,0,0.38313156366348267,0.335586816072464,0.30674096941947937,0.3436121642589569,0.25574642419815063,0.012032156810164452,0.2847301959991455,0.714131772518158,0.02473294005102041,0.0,0.357222318649292,962.1160435102622,11236.305325255102,0.0694156568877551,0.02632409892976284,,,,,,
reference,episode_000034,42,1,0.4115099310874939,0.3604292571544647,0.31949493288993835,0.3683335483074188,0.2376667559146881,0.0139415692538023,0.3648635447025299,0.7037513852119446,0.01731903698979592,0.0,0.3647870123386383,1087.4250270421678,13581.968710140307,0.07900191326530612,0.028384225443005562,,,,,,
reference,episode_000034,43,0,0.3829843997955322,0.33525097370147705,0.306378573179245,0.3433144986629486,0.25575509667396545,0.012068236246705055,0.2844596207141876,0.714131772518158,0.0253109056122449,0.0,0.35909029841423035,952.9237810803771,11219.170400191326,0.07077088647959184,0.026313694193959236,,,,,,
