run,step,kind,camera,metric,value
eval_obs_20260828_172311,144,matched_reference,0,luma_std,0.25716909766197205
eval_obs_20260828_172311,168,observed,0,luma_std,0.2784227728843689
eval_obs_20260828_172311,168,matched_reference,0,luma_std,0.2570810317993164
eval_obs_20260828_172311,0,observed,0,saturation_mean,0.2594504952430725
eval_obs_20260828_172311,0,matched_reference,0,saturation_mean,0.3543032109737396
eval_obs_20260828_172311,24,observed,0,saturation_mean,0.2519034445285797
eval_obs_20260828_172311,24,matched_reference,0,saturation_mean,0.3587553799152374
eval_obs_20260828_172311,48,observed,0,saturation_mean,0.25048235058784485
eval_obs_20260828_172311,48,matched_reference,0,saturation_mean,0.36129266023635864
eval_obs_20260828_172311,72,observed,0,saturation_mean,0.25091955065727234
eval_obs_20260828_172311,72,matched_reference,0,saturation_mean,0.36398470401763916
eval_obs_20260828_172311,96,observed,0,saturation_mean,0.2523829936981201
eval_obs_20260828_172311,96,matched_reference,0,saturation_mean,0.3645404577255249
eval_obs_20260828_172311,120,observed,0,saturation_mean,0.2520471215248108
eval_obs_20260828_172311,120,matched_reference,0,saturation_mean,0.3680253028869629
eval_obs_20260828_172311,144,observed,0,saturation_mean,0.25186243653297424
eval_obs_20260828_172311,144,matched_reference,0,saturation_mean,0.36872202157974243
eval_obs_20260828_172311,168,observed,0,saturation_mean,0.251731812953949
eval_obs_20260828_172311,168,matched_reference,0,saturation_mean,0.3682393431663513
eval_obs_20260828_172311,0,observed,0,laplacian_variance,908.4125841308365
eval_obs_20260828_172311,0,matched_reference,0,laplacian_variance,973.0958726299846
eval_obs_20260828_172311,24,observed,0,laplacian_variance,932.2993783756178
eval_obs_20260828_172311,24,matched_reference,0,laplacian_variance,945.1401165601167
eval_obs_20260828_172311,48,observed,0,laplacian_variance,958.006424385128
eval_obs_20260828_172311,48,matched_reference,0,laplacian_variance,949.5253455016277
eval_obs_20260828_172311,72,observed,0,laplacian_variance,957.295544904751
eval_obs_20260828_172311,72,matched_reference,0,laplacian_variance,948.7876847567828
eval_obs_20260828_172311,96,observed,0,laplacian_variance,954.3106704097844
eval_obs_20260828_172311,96,matched_reference,0,laplacian_variance,962.8949005968219
eval_obs_20260828_172311,120,observed,0,laplacian_variance,959.5300049370699
eval_obs_20260828_172311,120,matched_reference,0,laplacian_variance,961.4911381182498
eval_obs_20260828_172311,144,observed,0,laplacian_variance,944.6055871275553
eval_obs_20260828_172311,144,matched_reference,0,laplacian_variance,976.1799116710581
eval_obs_20260828_172311,168,observed,0,laplacian_variance,948.4736259357971
eval_obs_20260828_172311,168,matched_reference,0,laplacian_variance,975.5812300074749
eval_obs_20260828_172311,0,observed,0,edge_density,0.07772640306122448
eval_obs_20260828_172311,0,matched_reference,0,edge_density,0.06818000637755102
eval_obs_20260828_172311,24,observed,0,edge_density,0.08043686224489796
eval_obs_20260828_172311,24,matched_reference,0,edge_density,0.06887755102040816
eval_obs_20260828_172311,48,observed,0,edge_density,0.07946029974489796
eval_obs_20260828_172311,48,matched_reference,0,edge_density,0.06837930484693877
eval_obs_20260828_172311,72,observed,0,edge_density,0.07971938775510204
eval_obs_20260828_172311,72,matched_reference,0,edge_density,0.07110969387755102
eval_obs_20260828_172311,96,observed,0,edge_density,0.08041693239795919
eval_obs_20260828_172311,96,matched_reference,0,edge_density,0.07095025510204081
eval_obs_20260828_172311,120,observed,0,edge_density,0.08101482780612244
eval_obs_20260828_172311,120,matched_reference,0,edge_density,0.07282366071428571
eval_obs_20260828_172311,144,observed,0,edge_density,0.07834422831632654
eval_obs_20260828_172311,144,matched_reference,0,edge_density,0.07447783801020408
eval_obs_20260828_172311,168,observed,0,edge_density,0.08163265306122448
eval_obs_20260828_172311,168,matched_reference,0,edge_density,0.07401945153061225
eval_obs_20260828_172311,0,observed,1,luma_mean,0.4217877984046936
eval_obs_20260828_172311,0,matched_reference,1,luma_mean,0.35935619473457336
eval_obs_20260828_172311,24,observed,1,luma_mean,0.448083758354187
eval_obs_20260828_172311,24,matched_reference,1,luma_mean,0.3698301613330841
eval_obs_20260828_172311,48,observed,1,luma_mean,0.45822879672050476
eval_obs_20260828_172311,48,matched_reference,1,luma_mean,0.37431591749191284
eval_obs_20260828_172311,72,observed,1,luma_mean,0.4725373685359955
eval_obs_20260828_172311,72,matched_reference,1,luma_mean,0.39162710309028625
eval_obs_20260828_172311,96,observed,1,luma_mean,0.4829712212085724
eval_obs_20260828_172311,96,matched_reference,1,luma_mean,0.3968503773212433
eval_obs_20260828_172311,120,observed,1,luma_mean,0.4896567463874817
eval_obs_20260828_172311,120,matched_reference,1,luma_mean,0.37667474150657654
eval_obs_20260828_172311,144,observed,1,luma_mean,0.4911041259765625
eval_obs_20260828_172311,144,matched_reference,1,luma_mean,0.37569159269332886
eval_obs_20260828_172311,168,observed,1,luma_mean,0.48965075612068176
eval_obs_20260828_172311,168,matched_reference,1,luma_mean,0.3735317289829254
eval_obs_20260828_172311,0,observed,1,luma_std,0.32257699966430664
eval_obs_20260828_172311,0,matched_reference,1,luma_std,0.23759399354457855
eval_obs_20260828_172311,24,observed,1,luma_std,0.32217246294021606
eval_obs_20260828_172311,24,matched_reference,1,luma_std,0.23790507018566132
eval_obs_20260828_172311,48,observed,1,luma_std,0.31447634100914
eval_obs_20260828_172311,48,matched_reference,1,luma_std,0.23745165765285492
eval_obs_20260828_172311,72,observed,1,luma_std,0.30421727895736694
eval_obs_20260828_172311,72,matched_reference,1,luma_std,0.24016903340816498
eval_obs_20260828_172311,96,observed,1,luma_std,0.30248886346817017
eval_obs_20260828_172311,96,matched_reference,1,luma_std,0.24104554951190948
eval_obs_20260828_172311,120,observed,1,luma_std,0.30332306027412415
eval_obs_20260828_172311,120,matched_reference,1,luma_std,0.23881453275680542
eval_obs_20260828_172311,144,observed,1,luma_std,0.3017157018184662
eval_obs_20260828_172311,144,matched_reference,1,luma_std,0.2378733605146408
eval_obs_20260828_172311,168,observed,1,luma_std,0.2991114556789398
eval_obs_20260828_172311,168,matched_reference,1,luma_std,0.2360479086637497
eval_obs_20260828_172311,0,observed,1,saturation_mean,0.345210999250412
eval_obs_20260828_172311,0,matched_reference,1,saturation_mean,0.36728036403656006
eval_obs_20260828_172311,24,observed,1,saturation_mean,0.330138236284256
eval_obs_20260828_172311,24,matched_reference,1,saturation_mean,0.3635037839412689
eval_obs_20260828_172311,48,observed,1,saturation_mean,0.3248315751552582
eval_obs_20260828_172311,48,matched_reference,1,saturation_mean,0.3602805733680725
eval_obs_20260828_172311,72,observed,1,saturation_mean,0.29613226652145386
eval_obs_20260828_172311,72,matched_reference,1,saturation_mean,0.35142287611961365
eval_obs_20260828_172311,96,observed,1,saturation_mean,0.28410986065864563
eval_obs_20260828_172311,96,matched_reference,1,saturation_mean,0.3477942943572998
eval_obs_20260828_172311,120,observed,1,saturation_mean,0.27729344367980957
eval_obs_20260828_172311,120,matched_reference,1,saturation_mean,0.3605586886405945
eval_obs_20260828_172311,144,observed,1,saturation_mean,0.27529239654541016
eval_obs_20260828_172311,144,matched_reference,1,saturation_mean,0.3598145544528961
eval_obs_20260828_172311,168,observed,1,saturation_mean,0.27423226833343506
eval_obs_20260828_172311,168,matched_reference,1,saturation_mean,0.3604286313056946
eval_obs_20260828_172311,0,observed,1,laplacian_variance,1356.0917885099932
eval_obs_20260828_172311,0,matched_reference,1,laplacian_variance,1099.5490011666427
eval_obs_20260828_172311,24,observed,1,laplacian_variance,1372.6426170933798
eval_obs_20260828_172311,24,matched_reference,1,laplacian_variance,1094.5424624704808
eval_obs_20260828_172311,48,observed,1,laplacian_variance,1067.8146847697508
eval_obs_20260828_172311,48,matched_reference,1,laplacian_variance,957.4205015211094
eval_obs_20260828_172311,72,observed,1,laplacian_variance,1016.8254965031856
eval_obs_20260828_172311,72,matched_reference,1,laplacian_variance,897.4383573389113
eval_obs_20260828_172311,96,observed,1,laplacian_variance,1036.94450966868
eval_obs_20260828_172311,96,matched_reference,1,laplacian_variance,935.3331768031122
eval_obs_20260828_172311,120,observed,1,laplacian_variance,1105.030249909032
eval_obs_20260828_172311,120,matched_reference,1,laplacian_variance,1119.1922566987037
eval_obs_20260828_172311,144,observed,1,laplacian_variance,1088.8659212365837
eval_obs_20260828_172311,144,matched_reference,1,laplacian_variance,1089.4350943464083
eval_obs_20260828_172311,168,observed,1,laplacian_variance,1129.4137572984007
eval_obs_20260828_172311,168,matched_reference,1,laplacian_variance,1104.0000240889156
eval_obs_20260828_172311,0,observed,1,edge_density,0.08805006377551021
eval_obs_20260828_172311,0,matched_reference,1,edge_density,0.07824457908163265
eval_obs_20260828_172311,24,observed,1,edge_density,0.08522002551020408
eval_obs_20260828_172311,24,matched_reference,1,edge_density,0.0799984056122449
eval_obs_20260828_172311,48,observed,1,edge_density,0.0782047193877551
eval_obs_20260828_172311,48,matched_reference,1,edge_density,0.07567362882653061
eval_obs_20260828_172311,72,observed,1,edge_density,0.07122927295918367
eval_obs_20260828_172311,72,matched_reference,1,edge_density,0.06967474489795919
eval_obs_20260828_172311,96,observed,1,edge_density,0.07126913265306123
eval_obs_20260828_172311,96,matched_reference,1,edge_density,0.07043207908163265
eval_obs_20260828_172311,120,observed,1,edge_density,0.07479671556122448
eval_obs_20260828_172311,120,matched_reference,1,edge_density,0.08021763392857142
eval_obs_20260828_172311,144,observed,1,edge_density,0.07557397959183673
eval_obs_20260828_172311,144,matched_reference,1,edge_density,0.08009805484693877
eval_obs_20260828_172311,168,observed,1,edge_density,0.07665019132653061
eval_obs_20260828_172311,168,matched_reference,1,edge_density,0.07952008928571429
eval_obs_20260828_172525,0,observed,0,luma_mean,0.43360379338264465
eval_obs_20260828_172525,0,matched_reference,0,luma_mean,0.34581682085990906
eval_obs_20260828_172525,24,observed,0,luma_mean,0.4389469027519226
eval_obs_20260828_172525,24,matched_reference,0,luma_mean,0.3442121148109436
eval_obs_20260828_172525,48,observed,0,luma_mean,0.43788784742355347
eval_obs_20260828_172525,48,matched_reference,0,luma_mean,0.3416329622268677
eval_obs_20260828_172525,72,observed,0,luma_mean,0.4389139413833618
eval_obs_20260828_172525,72,matched_reference,0,luma_mean,0.3396877646446228
eval_obs_20260828_172525,96,observed,0,luma_mean,0.43806129693984985
eval_obs_20260828_172525,96,matched_reference,0,luma_mean,0.33873188495635986
eval_obs_20260828_172525,120,observed,0,luma_mean,0.4369710385799408
eval_obs_20260828_172525,120,matched_reference,0,luma_mean,0.33856746554374695
eval_obs_20260828_172525,144,observed,0,luma_mean,0.4387809932231903
eval_obs_20260828_172525,144,matched_reference,0,luma_mean,0.3378560543060303
eval_obs_20260828_172525,168,observed,0,luma_mean,0.44308289885520935
eval_obs_20260828_172525,168,matched_reference,0,luma_mean,0.3378560543060303
eval_obs_20260828_172525,192,observed,0,luma_mean,0.4457152187824249
eval_obs_20260828_172525,192,matched_reference,0,luma_mean,0.33785682916641235
eval_obs_20260828_172525,216,observed,0,luma_mean,0.447674423456192
eval_obs_20260828_172525,216,matched_reference,0,luma_mean,0.3380067050457001
eval_obs_20260828_172525,0,observed,0,luma_std,0.28507891297340393
eval_obs_20260828_172525,0,matched_reference,0,luma_std,0.256094753742218
eval_obs_20260828_172525,24,observed,0,luma_std,0.28309836983680725
eval_obs_20260828_172525,24,matched_reference,0,luma_std,0.25571656227111816
eval_obs_20260828_172525,48,observed,0,luma_std,0.27996668219566345
eval_obs_20260828_172525,48,matched_reference,0,luma_std,0.25586998462677
eval_obs_20260828_172525,72,observed,0,luma_std,0.2801470458507538
eval_obs_20260828_172525,72,matched_reference,0,luma_std,0.25530490279197693
eval_obs_20260828_172525,96,observed,0,luma_std,0.2801869809627533
eval_obs_20260828_172525,96,matched_reference,0,luma_std,0.25498858094215393
eval_obs_20260828_172525,120,observed,0,luma_std,0.2806567847728729
eval_obs_20260828_172525,120,matched_reference,0,luma_std,0.2550303339958191
eval_obs_20260828_172525,144,observed,0,luma_std,0.28096848726272583
eval_obs_20260828_172525,144,matched_reference,0,luma_std,0.25710099935531616
eval_obs_20260828_172525,168,observed,0,luma_std,0.2826140224933624
eval_obs_20260828_172525,168,matched_reference,0,luma_std,0.25710099935531616
eval_obs_20260828_172525,192,observed,0,luma_std,0.284158319234848
eval_obs_20260828_172525,192,matched_reference,0,luma_std,0.25701627135276794
eval_obs_20260828_172525,216,observed,0,luma_std,0.28555139899253845
eval_obs_20260828_172525,216,matched_reference,0,luma_std,0.25698962807655334
eval_obs_20260828_172525,0,observed,0,saturation_mean,0.25966256856918335
eval_obs_20260828_172525,0,matched_reference,0,saturation_mean,0.35367143154144287
eval_obs_20260828_172525,24,observed,0,saturation_mean,0.25459879636764526
eval_obs_20260828_172525,24,matched_reference,0,saturation_mean,0.35790562629699707
eval_obs_20260828_172525,48,observed,0,saturation_mean,0.2522607445716858
eval_obs_20260828_172525,48,matched_reference,0,saturation_mean,0.3601532280445099
eval_obs_20260828_172525,72,observed,0,saturation_mean,0.251928448677063
eval_obs_20260828_172525,72,matched_reference,0,saturation_mean,0.36129266023635864
eval_obs_20260828_172525,96,observed,0,saturation_mean,0.2525663375854492
eval_obs_20260828_172525,96,matched_reference,0,saturation_mean,0.36347976326942444
eval_obs_20260828_172525,120,observed,0,saturation_mean,0.2529643476009369
eval_obs_20260828_172525,120,matched_reference,0,saturation_mean,0.36398470401763916
eval_obs_20260828_172525,144,observed,0,saturation_mean,0.2501791715621948
eval_obs_20260828_172525,144,matched_reference,0,saturation_mean,0.3680253028869629
eval_obs_20260828_172525,168,observed,0,saturation_mean,0.25000831484794617
eval_obs_20260828_172525,168,matched_reference,0,saturation_mean,0.3680253028869629
eval_obs_20260828_172525,192,observed,0,saturation_mean,0.2491023987531662
eval_obs_20260828_172525,192,matched_reference,0,saturation_mean,0.3705427944660187
eval_obs_20260828_172525,216,observed,0,saturation_mean,0.24922364950180054
eval_obs_20260828_172525,216,matched_reference,0,saturation_mean,0.3699391782283783
eval_obs_20260828_172525,0,observed,0,laplacian_variance,913.8981930157978
eval_obs_20260828_172525,0,matched_reference,0,laplacian_variance,974.424943306306
eval_obs_20260828_172525,24,observed,0,laplacian_variance,883.9298022042607
eval_obs_20260828_172525,24,matched_reference,0,laplacian_variance,973.6900703715364
eval_obs_20260828_172525,48,observed,0,laplacian_variance,916.9672904040406
eval_obs_20260828_172525,48,matched_reference,0,laplacian_variance,933.9984145726527
eval_obs_20260828_172525,72,observed,0,laplacian_variance,934.1944268658378
eval_obs_20260828_172525,72,matched_reference,0,laplacian_variance,949.5253455016277
eval_obs_20260828_172525,96,observed,0,laplacian_variance,928.2978892471334
eval_obs_20260828_172525,96,matched_reference,0,laplacian_variance,944.1709556452488
eval_obs_20260828_172525,120,observed,0,laplacian_variance,940.6844888883348
eval_obs_20260828_172525,120,matched_reference,0,laplacian_variance,948.7876847567828
eval_obs_20260828_172525,144,observed,0,laplacian_variance,926.7991477584203
eval_obs_20260828_172525,144,matched_reference,0,laplacian_variance,961.4911381182498
eval_obs_20260828_172525,168,observed,0,laplacian_variance,946.8386368693931
eval_obs_20260828_172525,168,matched_reference,0,laplacian_variance,961.4911381182498
eval_obs_20260828_172525,192,observed,0,laplacian_variance,956.3839789263064
eval_obs_20260828_172525,192,matched_reference,0,laplacian_variance,980.3778849216066
eval_obs_20260828_172525,216,observed,0,laplacian_variance,975.2543750013822
eval_obs_20260828_172525,216,matched_reference,0,laplacian_variance,993.1648783971746
eval_obs_20260828_172525,0,observed,0,edge_density,0.07702885841836735
eval_obs_20260828_172525,0,matched_reference,0,edge_density,0.06887755102040816
eval_obs_20260828_172525,24,observed,0,edge_density,0.07557397959183673
eval_obs_20260828_172525,24,matched_reference,0,edge_density,0.06879783163265306
